YEAR,WEEK,TOTAL SPECIMENS,Total A&B
2017,25,511,13
2017,26,470,19
2017,27,416,12
2017,28,504,8
2017,29,495,7
2017,30,430,5
2017,31,393,5
2017,32,417,7
2017,33,415,3
2017,34,471,6
2017,35,555,4
2017,36,525,8
2017,37,590,9
2017,38,671,8
2017,39,788,9
2017,40,794,7
2017,41,832,19
2017,42,882,21
2017,43,922,37
2017,44,1016,67
2017,45,1086,78
2017,46,1159,99
2017,47,1272,183
2017,48,1439,213
2017,49,1807,378
2017,50,2336,674
2017,51,3143,1073
2017,52,3339,1295
2018,1,3272,1014
2018,2,2893,639
2018,3,2476,414
2018,4,2427,403
2018,5,2509,441
2018,6,2778,485
2018,7,2605,434
2018,8,2137,294
2018,9,2130,347
2018,10,2041,334
2018,11,1976,318
2018,12,1632,167
2018,13,1308,99
2018,14,1084,80
2018,15,855,42
2018,16,568,19
2018,17,689,27
2018,18,621,11
2018,19,553,3
2018,20,519,7
2018,21,430,8
2018,22,407,2
2018,23,402,7
2018,24,350,1
2018,25,362,1
2018,26,216,1